anchor,positive
"Let X be a Gaussian random variable with mean 0 and variance σ². Let Y = max(X,0) where max(a,b) is the maximum of a and b. The median of Y is __________.",CS - Engineering Mathematics: Probability - Random Variables and Distributions
Let T be a tree with 10 vertices. The sum of the degrees of all the vertices in T is __________.,CS - Engineering Mathematics: Graph Theory - Properties of Trees
"Consider the Karnaugh map given below, where X represents 'don't care' and blank represents 0.
[Image of a 4-variable K-map is shown]
Assume for all inputs (a, b, c, d), the respective complements are also available. The above logic is implemented using 2-input NOR gates only. The minimum number of gates required is __________.",CS - Digital Logic: Boolean Algebra - K-Maps and Universal Gates
"Consider the language L given by the regular expression (a+b)*b(a+b) over the alphabet {a,b}. The smallest number of states needed in a deterministic finite-state automaton (DFA) accepting L is __________.",CS - Theory of Computation: Finite Automata - Regular Expressions to DFA Conversion
"Consider a database that has the relation schema EMP (EmpId, EmpName, and DeptName). An instance of the schema EMP and a SQL query on it are given below.
[Table data is provided]
SELECT AVG(EC.Num)
FROM (SELECT DeptName, COUNT(EmpId) AS Num FROM EMP GROUP BY DeptName) AS EC
WHERE (DeptName, Num) IN (SELECT DeptName, COUNT(EmpId) FROM EMP GROUP BY DeptName)
The output of executing the SQL query is __________.",CS - Databases: SQL - Subqueries and Aggregation
"Consider the following CPU processes with arrival times (in milliseconds) and length of CPU bursts (in milliseconds) as given below:
Process | Arrival time | Burst time
P1 | 0 | 7
P2 | 3 | 3
P3 | 5 | 5
P4 | 6 | 2
If the pre-emptive shortest remaining time first scheduling algorithm is used to schedule the processes, then the average waiting time across all processes is __________ milliseconds.",CS - Operating Systems: CPU Scheduling - Shortest Remaining Time First (SRTF)
"Consider a two-level cache hierarchy with L1 and L2 caches. An application incurs 1.4 memory accesses per instruction on average. For this application, the miss rate of L1 cache is 0.1; the L2 cache experiences, on average, 7 misses per 1000 instructions. The miss rate of L2 expressed correct to two decimal places is __________.",CS - Computer Organization and Architecture: Cache Memory - Cache Performance Metrics
"Let G = (V, E) be any connected undirected edge-weighted graph. The weights of the edges in E are positive and distinct. Consider the following statements:
(I) Minimum Spanning Tree of G is always unique.
(II) Shortest path between any two vertices of G is always unique.
Which of the above statements is/are necessarily true?",CS - Algorithms: Graph Algorithms - MST and Shortest Path Properties
"A multithreaded program P executes with x number of threads and uses y number of locks for ensuring mutual exclusion while operating on shared memory locations. All locks in the program are non-reentrant, i.e., if a thread holds a lock l, then it cannot re-acquire lock l without releasing it. If a thread is unable to acquire a lock, it blocks until the lock becomes available. The minimum value of x and the minimum value of y together for which execution of P can result in a deadlock are:",CS - Operating Systems: Deadlocks - Conditions for Deadlock
The value of lim (x→1) [(x⁷ - 2x⁵ + 1) / (x³ - 3x² + 2)],CS - Engineering Mathematics: Calculus - Limits and L'Hopital's Rule
"Let p, q, and r be propositions and the expression (p → q) → r be a contradiction. Then, the expression (r → p) → q is",CS - Engineering Mathematics: Mathematical Logic - Propositional Logic
Let u and v be two vectors in R² whose Euclidean norms satisfy ||u|| = 2||v||. What is the value of α such that w = u + αv bisects the angle between u and v?,CS - Engineering Mathematics: Linear Algebra - Vectors and Geometry
"Let A be an n×n real valued square symmetric matrix of rank 2 with Σᵢ₌₁ⁿ Σⱼ₌₁ⁿ Aᵢⱼ² = 50. Consider the following statements.
(I) One eigenvalue must be in [-5, 5]
(II) The eigenvalue with the largest magnitude must be strictly greater than 5
Which of the above statements about eigenvalues of A is/are necessarily CORRECT?",CS - Engineering Mathematics: Linear Algebra - Eigenvalues and Properties of Matrices
"A computer network uses polynomials over GF(2) for error checking with 8 bits as information bits and uses x³ + x + 1 as the generator polynomial to generate the check bits. In this network, the message 01011011 is transmitted as",CS - Computer Networks: Error Detection and Correction - Cyclic Redundancy Check (CRC)
"Consider a combination of T and D flip-flops connected as shown below. The output of the D flip-flop is connected to the input of the T flip-flop and the output of the T flip-flop is connected to the input of the D flip-flop.
[Image of a circuit with a T flip-flop and D flip-flop in a feedback loop]
Initially, both Q₀ and Q₁ are set to 1 (before the 1st clock cycle). The outputs Q₁Q₀ after the 3rd cycle are 11 and after the 4th cycle are 00 respectively",CS - Digital Logic: Sequential Circuits - Flip-Flops and State Analysis
"If G is a grammar with productions
S → SaS | aSb | bSa | SS | ε
where S is the start variable, then which one of the following strings is not generated by G?",CS - Theory of Computation: Context-Free Grammars - Language generated by a CFG
"Consider the following two functions.
void fun1(int n) {
  if (n == 0) return;
  printf(""%d"", n);
  fun2(n - 2);
  printf(""%d"", n);
}
void fun2(int n) {
  if (n == 0) return;
  printf(""%d"", n);
  fun1(++n);
  printf(""%d"", n);
}
The output printed when fun1(5) is called is",CS - Programming and Data Structures: Programming in C - Recursion
"Consider the C functions foo and bar given below:
int foo(int val) {
  int x = 0;
  while (val > 0) {
    x = x + foo(val--);
  }
  return val;
}
int bar(int val) {
  int x = 0;
  while (val > 0) {
    x = x + bar(val-1);
  }
  return val;
}
Invocations of foo(3) and bar(3) will result in:",CS - Programming and Data Structures: Programming in C - Recursion and Infinite Loops
"Consider the context-free grammars over the alphabet {a,b,c} given below. S and T are non-terminals.
G₁: S → aSb | T, T → cT | ε
G₂: S → bSa | T, T → cT | ε
The language L(G₁) ∩ L(G₂) is",CS - Theory of Computation: Formal Languages - Closure Properties of Language Classes
"Consider the following languages over the alphabet Σ = {a, b, c}.
Let L₁ = {aⁿbⁿcᵐ | m, n ≥ 0} and L₂ = {aᵐbⁿcⁿ | m, n ≥ 0}.
Which of the following are context-free languages?
I. L₁ ∪ L₂
II. L₁ ∩ L₂",CS - Theory of Computation: Context-Free Languages - Closure Properties of CFLs
"Let A and B be finite alphabets and let # be a symbol outside both A and B. Let f be a total function from A* to B*. We say f is computable if there exists a Turing machine M which given an input x in A*, always halts with f(x) on its tape. Let L_f denote the language {x#f(x) | x ∈ A*}. Which of the following statements is true:",CS - Theory of Computation: Turing Machines and Computability - Computable Functions and Recursive Languages
"Rahul, Murali, Srinivas and Arul are seated around a square table. Rahul is sitting to the left of Murali. Srinivas is sitting to the right of Arul. Which of the following pairs are seated opposite each other?",GA - Analytical Aptitude: Seating Arrangement - Logical Reasoning
"Recall that Belady's anomaly is that the page-fault rate may increase as the number of allocated frames increases. Now, consider the following statements:
S1: Random page replacement algorithm (where a page chosen at random is replaced) suffers from Belady's anomaly
S2: LRU page replacement algorithm suffers from Belady's anomaly
Which of the following is CORRECT?",CS - Operating Systems: Memory Management - Page Replacement Algorithms and Belady's Anomaly
"Consider a database that has the relation schemas EMP(EmpId, EmpName, DeptId), and DEPT(DeptName, DeptId). Note that the DeptId can be permitted to be NULL in the relation EMP. Consider the following queries on the database expressed in tuple relational calculus.
(I) {t | ∃u ∈ EMP(t[EmpName] = u[EmpName] ∧ ∀v ∈ DEPT(t[DeptId] ≠ v[DeptId]))}
(II) {t | ∃u ∈ EMP(t[EmpName] = u[EmpName] ∧ ∃v ∈ DEPT(t[DeptId] ≠ v[DeptId]))}
(III) {t | ∃u ∈ EMP(t[EmpName] = u[EmpName] ∧ ∃v ∈ DEPT(t[DeptId] = v[DeptId]))}
Which of the above queries are safe?",CS - Databases: Relational Calculus - Tuple Relational Calculus and Safe Queries
"In a database system, unique timestamps are assigned to each transaction using Lamport's logical clock. Let TS(T₁) and TS(T₂) be the timestamps of transactions T₁ and T₂ respectively. Besides, T₁ holds a lock on the resource R, and T₂ has requested a conflicting lock on the same resource R. The following algorithm is used to prevent deadlocks in the database system assuming that a killed transaction is restarted with the same timestamp.
if TS(T₂) < TS(T₁) then
  T₁ is killed
else T₂ waits.
Assume any transaction that is not killed terminates eventually. Which of the following is TRUE about the database system that uses the above algorithm to prevent deadlocks?",CS - Databases: Concurrency Control - Deadlock Prevention and Starvation
"Consider the following grammar:
stmt → if expr then expr else expr; stmt | ò
expr → term relop term | term
term → id | number
id → a | b | c
number → [0-9]
where relop is a relational operator, ò refers to the empty statement, and if, then, else are terminals. Consider a program P following the above grammar containing ten if terminals. The number of control flow paths in P is __________.",CS - Compiler Design: Syntax Analysis - Control Flow Paths
